Calendar_Year,Month,Policing_District,Data_Measure,Incident_Count
2008,Apr,Northern Ireland,Anti-Social Behaviour Incidents,7056
2008,Apr,Belfast City,Anti-Social Behaviour Incidents,2092
2008,Apr,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,428
2008,Apr,Ards & North Down,Anti-Social Behaviour Incidents,579
2008,Apr,Newry Mourne & Down,Anti-Social Behaviour Incidents,535
2008,Apr,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,638
2008,Apr,Mid Ulster,Anti-Social Behaviour Incidents,314
2008,Apr,Fermanagh & Omagh,Anti-Social Behaviour Incidents,281
2008,Apr,Derry City & Strabane,Anti-Social Behaviour Incidents,555
2008,Apr,Causeway Coast & Glens,Anti-Social Behaviour Incidents,540
2008,Apr,Mid & East Antrim,Anti-Social Behaviour Incidents,562
2008,Apr,Antrim & Newtownabbey,Anti-Social Behaviour Incidents,532
2008,Apr,No Policing District Assigned,Anti-Social Behaviour Incidents,0
2008,May,Northern Ireland,Anti-Social Behaviour Incidents,9129
2008,May,Belfast City,Anti-Social Behaviour Incidents,2743
2008,May,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,588
2008,May,Ards & North Down,Anti-Social Behaviour Incidents,833
2008,May,Newry Mourne & Down,Anti-Social Behaviour Incidents,766
2008,May,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,778
2008,May,Mid Ulster,Anti-Social Behaviour Incidents,484
2008,May,Fermanagh & Omagh,Anti-Social Behaviour Incidents,444
2008,May,Derry City & Strabane,Anti-Social Behaviour Incidents,615
2008,May,Causeway Coast & Glens,Anti-Social Behaviour Incidents,644
2008,May,Mid & East Antrim,Anti-Social Behaviour Incidents,617
2008,May,Antrim & Newtownabbey,Anti-Social Behaviour Incidents,617
2008,May,No Policing District Assigned,Anti-Social Behaviour Incidents,0
2008,Jun,Northern Ireland,Anti-Social Behaviour Incidents,7344
2008,Jun,Belfast City,Anti-Social Behaviour Incidents,2094
2008,Jun,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,420
2008,Jun,Ards & North Down,Anti-Social Behaviour Incidents,620
2008,Jun,Newry Mourne & Down,Anti-Social Behaviour Incidents,599
2008,Jun,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,683
2008,Jun,Mid Ulster,Anti-Social Behaviour Incidents,386
2008,Jun,Fermanagh & Omagh,Anti-Social Behaviour Incidents,361
2008,Jun,Derry City & Strabane,Anti-Social Behaviour Incidents,568
2008,Jun,Causeway Coast & Glens,Anti-Social Behaviour Incidents,602
2008,Jun,Mid & East Antrim,Anti-Social Behaviour Incidents,482
2008,Jun,Antrim & Newtownabbey,Anti-Social Behaviour Incidents,529
2008,Jun,No Policing District Assigned,Anti-Social Behaviour Incidents,0
2008,Jul,Northern Ireland,Anti-Social Behaviour Incidents,8142
2008,Jul,Belfast City,Anti-Social Behaviour Incidents,2289
2008,Jul,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,381
2008,Jul,Ards & North Down,Anti-Social Behaviour Incidents,563
2008,Jul,Newry Mourne & Down,Anti-Social Behaviour Incidents,609
2008,Jul,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,760
2008,Jul,Mid Ulster,Anti-Social Behaviour Incidents,448
2008,Jul,Fermanagh & Omagh,Anti-Social Behaviour Incidents,428
2008,Jul,Derry City & Strabane,Anti-Social Behaviour Incidents,732
2008,Jul,Causeway Coast & Glens,Anti-Social Behaviour Incidents,724
2008,Jul,Mid & East Antrim,Anti-Social Behaviour Incidents,602
2008,Jul,Antrim & Newtownabbey,Anti-Social Behaviour Incidents,606
2008,Jul,No Policing District Assigned,Anti-Social Behaviour Incidents,0
2008,Aug,Northern Ireland,Anti-Social Behaviour Incidents,8035
2008,Aug,Belfast City,Anti-Social Behaviour Incidents,2260
2008,Aug,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,423
2008,Aug,Ards & North Down,Anti-Social Behaviour Incidents,426
2008,Aug,Newry Mourne & Down,Anti-Social Behaviour Incidents,602
2008,Aug,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,796
2008,Aug,Mid Ulster,Anti-Social Behaviour Incidents,400
2008,Aug,Fermanagh & Omagh,Anti-Social Behaviour Incidents,388
2008,Aug,Derry City & Strabane,Anti-Social Behaviour Incidents,682
2008,Aug,Causeway Coast & Glens,Anti-Social Behaviour Incidents,754
2008,Aug,Mid & East Antrim,Anti-Social Behaviour Incidents,667
2008,Aug,Antrim & Newtownabbey,Anti-Social Behaviour Incidents,637
2008,Aug,No Policing District Assigned,Anti-Social Behaviour Incidents,0
2008,Sep,Northern Ireland,Anti-Social Behaviour Incidents,7011
2008,Sep,Belfast City,Anti-Social Behaviour Incidents,2067
2008,Sep,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,401
2008,Sep,Ards & North Down,Anti-Social Behaviour Incidents,360
2008,Sep,Newry Mourne & Down,Anti-Social Behaviour Incidents,550
2008,Sep,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,687
2008,Sep,Mid Ulster,Anti-Social Behaviour Incidents,354
2008,Sep,Fermanagh & Omagh,Anti-Social Behaviour Incidents,342
2008,Sep,Derry City & Strabane,Anti-Social Behaviour Incidents,613
2008,Sep,Causeway Coast & Glens,Anti-Social Behaviour Incidents,532
2008,Sep,Mid & East Antrim,Anti-Social Behaviour Incidents,548
2008,Sep,Antrim & Newtownabbey,Anti-Social Behaviour Incidents,557
2008,Sep,No Policing District Assigned,Anti-Social Behaviour Incidents,0
2008,Oct,Northern Ireland,Anti-Social Behaviour Incidents,7697
2008,Oct,Belfast City,Anti-Social Behaviour Incidents,1929
2008,Oct,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,443
2008,Oct,Ards & North Down,Anti-Social Behaviour Incidents,501
2008,Oct,Newry Mourne & Down,Anti-Social Behaviour Incidents,697
2008,Oct,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,809
2008,Oct,Mid Ulster,Anti-Social Behaviour Incidents,475
2008,Oct,Fermanagh & Omagh,Anti-Social Behaviour Incidents,371
2008,Oct,Derry City & Strabane,Anti-Social Behaviour Incidents,648
2008,Oct,Causeway Coast & Glens,Anti-Social Behaviour Incidents,634
2008,Oct,Mid & East Antrim,Anti-Social Behaviour Incidents,596
2008,Oct,Antrim & Newtownabbey,Anti-Social Behaviour Incidents,594
2008,Oct,No Policing District Assigned,Anti-Social Behaviour Incidents,0
2008,Nov,Northern Ireland,Anti-Social Behaviour Incidents,6076
2008,Nov,Belfast City,Anti-Social Behaviour Incidents,1583
2008,Nov,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,340
2008,Nov,Ards & North Down,Anti-Social Behaviour Incidents,436
2008,Nov,Newry Mourne & Down,Anti-Social Behaviour Incidents,520
2008,Nov,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,585
2008,Nov,Mid Ulster,Anti-Social Behaviour Incidents,354
2008,Nov,Fermanagh & Omagh,Anti-Social Behaviour Incidents,278
2008,Nov,Derry City & Strabane,Anti-Social Behaviour Incidents,528
2008,Nov,Causeway Coast & Glens,Anti-Social Behaviour Incidents,478
2008,Nov,Mid & East Antrim,Anti-Social Behaviour Incidents,496
2008,Nov,Antrim & Newtownabbey,Anti-Social Behaviour Incidents,478
2008,Nov,No Policing District Assigned,Anti-Social Behaviour Incidents,0
2008,Dec,Northern Ireland,Anti-Social Behaviour Incidents,5902
2008,Dec,Belfast City,Anti-Social Behaviour Incidents,1568
2008,Dec,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,336
2008,Dec,Ards & North Down,Anti-Social Behaviour Incidents,417
2008,Dec,Newry Mourne & Down,Anti-Social Behaviour Incidents,461
2008,Dec,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,521
2008,Dec,Mid Ulster,Anti-Social Behaviour Incidents,347
2008,Dec,Fermanagh & Omagh,Anti-Social Behaviour Incidents,270
2008,Dec,Derry City & Strabane,Anti-Social Behaviour Incidents,554
2008,Dec,Causeway Coast & Glens,Anti-Social Behaviour Incidents,519
2008,Dec,Mid & East Antrim,Anti-Social Behaviour Incidents,455
2008,Dec,Antrim & Newtownabbey,Anti-Social Behaviour Incidents,454
2008,Dec,No Policing District Assigned,Anti-Social Behaviour Incidents,0
2009,Jan,Northern Ireland,Anti-Social Behaviour Incidents,5499
2009,Jan,Belfast City,Anti-Social Behaviour Incidents,1523
2009,Jan,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,326
2009,Jan,Ards & North Down,Anti-Social Behaviour Incidents,355
2009,Jan,Newry Mourne & Down,Anti-Social Behaviour Incidents,470
2009,Jan,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,507
2009,Jan,Mid Ulster,Anti-Social Behaviour Incidents,328
2009,Jan,Fermanagh & Omagh,Anti-Social Behaviour Incidents,203
2009,Jan,Derry City & Strabane,Anti-Social Behaviour Incidents,509
2009,Jan,Causeway Coast & Glens,Anti-Social Behaviour Incidents,448
2009,Jan,Mid & East Antrim,Anti-Social Behaviour Incidents,408
2009,Jan,Antrim & Newtownabbey,Anti-Social Behaviour Incidents,422
2009,Jan,No Policing District Assigned,Anti-Social Behaviour Incidents,0
2009,Feb,Northern Ireland,Anti-Social Behaviour Incidents,6564
2009,Feb,Belfast City,Anti-Social Behaviour Incidents,1834
2009,Feb,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,379
2009,Feb,Ards & North Down,Anti-Social Behaviour Incidents,440
2009,Feb,Newry Mourne & Down,Anti-Social Behaviour Incidents,495
2009,Feb,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,496
2009,Feb,Mid Ulster,Anti-Social Behaviour Incidents,363
2009,Feb,Fermanagh & Omagh,Anti-Social Behaviour Incidents,292
2009,Feb,Derry City & Strabane,Anti-Social Behaviour Incidents,704
2009,Feb,Causeway Coast & Glens,Anti-Social Behaviour Incidents,479
2009,Feb,Mid & East Antrim,Anti-Social Behaviour Incidents,485
2009,Feb,Antrim & Newtownabbey,Anti-Social Behaviour Incidents,597
2009,Feb,No Policing District Assigned,Anti-Social Behaviour Incidents,0
2009,Mar,Northern Ireland,Anti-Social Behaviour Incidents,6715
2009,Mar,Belfast City,Anti-Social Behaviour Incidents,1986
2009,Mar,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,378
2009,Mar,Ards & North Down,Anti-Social Behaviour Incidents,511
2009,Mar,Newry Mourne & Down,Anti-Social Behaviour Incidents,513
2009,Mar,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,545
2009,Mar,Mid Ulster,Anti-Social Behaviour Incidents,390
2009,Mar,Fermanagh & Omagh,Anti-Social Behaviour Incidents,228
2009,Mar,Derry City & Strabane,Anti-Social Behaviour Incidents,649
2009,Mar,Causeway Coast & Glens,Anti-Social Behaviour Incidents,571
2009,Mar,Mid & East Antrim,Anti-Social Behaviour Incidents,468
2009,Mar,Antrim & Newtownabbey,Anti-Social Behaviour Incidents,476
2009,Mar,No Policing District Assigned,Anti-Social Behaviour Incidents,0
2009,Apr,Northern Ireland,Anti-Social Behaviour Incidents,7362
2009,Apr,Belfast City,Anti-Social Behaviour Incidents,2050
2009,Apr,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,389
2009,Apr,Ards & North Down,Anti-Social Behaviour Incidents,535
2009,Apr,Newry Mourne & Down,Anti-Social Behaviour Incidents,577
2009,Apr,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,708
2009,Apr,Mid Ulster,Anti-Social Behaviour Incidents,414
2009,Apr,Fermanagh & Omagh,Anti-Social Behaviour Incidents,304
2009,Apr,Derry City & Strabane,Anti-Social Behaviour Incidents,691
2009,Apr,Causeway Coast & Glens,Anti-Social Behaviour Incidents,605
2009,Apr,Mid & East Antrim,Anti-Social Behaviour Incidents,488
2009,Apr,Antrim & Newtownabbey,Anti-Social Behaviour Incidents,601
2009,Apr,No Policing District Assigned,Anti-Social Behaviour Incidents,0
2009,May,Northern Ireland,Anti-Social Behaviour Incidents,7599
2009,May,Belfast City,Anti-Social Behaviour Incidents,2247
2009,May,Lisburn & Castlereagh City,Anti-Social Behaviour Incidents,406
2009,May,Ards & North Down,Anti-Social Behaviour Incidents,592
2009,May,Newry Mourne & Down,Anti-Social Behaviour Incidents,639
2009,May,Armagh City Banbridge & Craigavon,Anti-Social Behaviour Incidents,721
